delay_limit,max_trace_len,min_trace_len,max_trace_duration,min_num_traces,path,seed,client_sample_size,trace_sample_size,target_trace_sample_size,approach,fields,typical,dependent,multiple,metric,strategy,scoring_matrix,scope,top_1,top_1_std,top_10,top_10_std,top_10_percent,top_10_percent_std
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,frequency,"[Url, Category, Domain, Age, Gender]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.78,0.4142463035441605,0.9,0.3000000000000005
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,frequency,"[Url, Category, Domain, Gender]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.615,0.486595314404073,0.6975,0.4593405599334763,0.8325,0.373421678535137
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,frequency,"[Url, Category, Domain, Gender, Age, Hour, Day]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.46,0.4983974317750855,0.63,0.4828043081829317,0.86,0.3469870314579484
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,1,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.3925,0.4883070243197394,0.575,0.4943429983321299,0.8725,0.3335322323254532
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6,0.4898979485566339,0.7575,0.4285950886326176,0.94,0.2374868417407576
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6525,0.4761761753804995,0.79,0.407308237088326,0.935,0.2465258607124221
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,15,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6675,0.4711090638058245,0.7975,0.4018628497385657,0.92,0.2712931993250098
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,20,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.67,0.4702127178203504,0.8025,0.398112735289892,0.915,0.2788816953476851
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.7875,0.4090767042988388,0.9125,0.282566363886433
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,30,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.67,0.4702127178203504,0.785,0.4108223460329294,0.91,0.2861817604250827
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,35,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.68,0.4664761515876257,0.7875,0.4090767042988389,0.9075,0.2897304782034512
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,40,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.785,0.4108223460329297,0.905,0.2932149382279158
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,45,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.78,0.4142463035441605,0.905,0.2932149382279159
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.4683748498798809,0.785,0.4108223460329295,0.905,0.2932149382279158
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,10,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.7,0.458257569495584,1.0,0.0,1.0,0.0
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,50,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.72,0.448998886412873,0.8,0.4,0.86,0.3469870314579493
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,100,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.63,0.4828043081829326,0.74,0.438634243989226,0.89,0.3128897569432404
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,200,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.665,0.471990466005406,0.78,0.4142463035441598,0.94,0.2374868417407583
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,300,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.65,0.4769696007084733,0.74,0.4386342439892257,0.91,0.2861817604250831
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.78,0.4142463035441605,0.9,0.3000000000000007
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,500,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.7,0.458257569495585,0.794,0.4044304637388237,0.906,0.2918287168871496
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,600,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.68,0.4664761515876259,0.7816666666666666,0.4131148616170665,0.9133333333333332,0.2813459712801233
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,700,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6657142857142857,0.4717401567708672,0.78,0.4142463035441608,0.9,0.2999999999999991
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,800,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.68,0.4664761515876233,0.79,0.4073082370883252,0.905,0.2932149382279154
